plotid,sampleid,sample_internal_id,lon,lat,imagery_title,for2000,for2008,for2021,fcc_p1,fcc_p2,for2021_fnf,Dec1999,Dec2000,Dec2007,Dec2008,Dec2020,Dec2021,gain,lossyear,treecover2000
5,65,750583136,165.9528500307817,-21.66029349433437,Othophoto_2010,Forest,Forest,NA,stableF,NA,NA,1,1,1,1,2,2,0,NA,97
5,66,750583137,165.9528500307817,-21.660023999999993,Othophoto_2010,NonForest,Forest,NA,gain,NA,NA,6,6,6,6,4,4,0,NA,97
5,67,750583138,165.9528500307817,-21.659754505162212,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,66
5,68,750583139,165.95314,-21.66029349433437,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,1,NA,37
5,69,750583140,165.95314,-21.660023999999993,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,1,NA,37
5,70,750583141,165.95314,-21.659754505162212,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,45
5,71,750583142,165.95342996921826,-21.66029349433437,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,55
5,72,750583143,165.95342996921826,-21.660023999999993,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,55
5,73,750583144,165.95342996921826,-21.659754505162212,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,47
6,81,750583145,165.99036899579798,-21.67769049433416,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,41
6,82,750583146,165.99036899579798,-21.677420999999995,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,41
6,83,750583147,165.99036899579798,-21.677151505161987,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,4,4,0,NA,29
6,84,750583148,165.990659,-21.67769049433416,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,4,4,4,0,NA,37
6,85,750583149,165.990659,-21.677420999999995,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,4,4,0,NA,37
6,86,750583150,165.990659,-21.677151505161987,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,4,4,0,NA,37
6,87,750583151,165.99094900420198,-21.67769049433416,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,4,4,4,0,NA,16
6,88,750583152,165.99094900420198,-21.677420999999995,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,4,4,4,0,NA,16
6,89,750583153,165.99094900420198,-21.677151505161987,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,1,NA,0
7,97,750583154,165.93191295965528,-21.69564549433393,Othophoto_2010,NonForest,Forest,NA,gain,NA,NA,6,6,6,6,6,6,0,NA,48
7,98,750583155,165.93191295965528,-21.695375999999996,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,1,2,90
7,99,750583156,165.93191295965528,-21.69510650516176,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,62
7,100,750583157,165.93220300000002,-21.69564549433393,Othophoto_2010,Forest,NonForest,NA,loss,NA,NA,1,1,2,2,3,3,0,NA,74
7,101,750583158,165.93220300000002,-21.695375999999996,Othophoto_2010,Forest,Forest,NA,stableF,NA,NA,1,1,1,1,4,4,0,NA,67
7,102,750583159,165.93220300000002,-21.69510650516176,Othophoto_2010,NonForest,Forest,NA,gain,NA,NA,1,1,2,2,2,2,0,NA,66
7,103,750583160,165.9324930403447,-21.69564549433393,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,74
7,104,750583161,165.9324930403447,-21.695375999999996,Othophoto_2010,NonForest,Forest,NA,gain,NA,NA,1,1,2,2,4,4,0,NA,67
7,105,750583162,165.9324930403447,-21.69510650516176,Othophoto_2010,Forest,Forest,NA,stableF,NA,NA,1,1,1,1,2,2,0,NA,66
8,113,750583163,165.95775894848785,-21.70118949433385,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,37
8,114,750583164,165.95775894848785,-21.700919999999996,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,45
8,115,750583165,165.95775894848785,-21.700650505161676,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,42
8,116,750583166,165.958049,-21.70118949433385,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,1,NA,45
8,117,750583167,165.958049,-21.700919999999996,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,1,6,78
8,118,750583168,165.958049,-21.700650505161676,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,1,6,78
8,119,750583169,165.95833905151216,-21.70118949433385,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,6,45
8,120,750583170,165.95833905151216,-21.700919999999996,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,1,6,47
8,121,750583171,165.95833905151216,-21.700650505161676,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,6,55
9,129,750583172,165.96098793651072,-21.707133494333775,Othophoto_2010,Forest,Forest,NA,stableF,NA,NA,6,6,4,4,4,4,0,NA,45
9,130,750583173,165.96098793651072,-21.706863999999996,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,45
9,131,750583174,165.96098793651072,-21.70659450516162,Othophoto_2010,NonForest,NonForest,NA,stableNF,NA,NA,6,6,6,6,6,6,0,NA,45
