system:index,Dec1999,Dec2000,Dec2007,Dec2008,Dec2020,Dec2021,datamask,gain,id,lat,lon,loss,lossyear,treecover2000,.geo
23308,6,6,6,6,6,6,1,0,23308,-21.43861,165.29598,0,,28,"{""type"":""Point"",""coordinates"":[165.29598,-21.43861]}"
23309,6,6,6,6,6,6,1,0,23309,-21.438340505165044,165.29598,0,,16,"{""type"":""Point"",""coordinates"":[165.29598,-21.438340505165044]}"
23310,6,6,6,6,6,6,1,0,23310,-21.43887949433721,165.29626952704103,0,,29,"{""type"":""Point"",""coordinates"":[165.29626952704103,-21.438879494337208]}"
23311,6,6,6,6,6,6,1,0,23311,-21.43861,165.29626952704103,0,,33,"{""type"":""Point"",""coordinates"":[165.29626952704103,-21.43861]}"
23312,6,6,6,6,6,6,1,0,23312,-21.438340505165044,165.29626952704103,0,,37,"{""type"":""Point"",""coordinates"":[165.29626952704103,-21.438340505165048]}"
23313,6,6,6,6,6,6,1,0,23313,-21.440159494337166,165.14862047041902,0,,16,"{""type"":""Point"",""coordinates"":[165.14862047041902,-21.440159494337166]}"
23314,6,6,6,6,6,6,1,0,23314,-21.778260000000003,166.15471020767333,0,,0,"{""type"":""Point"",""coordinates"":[166.15471020767333,-21.778260000000003]}"
23315,5,5,5,5,5,5,1,0,23315,-21.60401050516292,166.22925,0,,0,"{""type"":""Point"",""coordinates"":[166.22925,-21.604010505162915]}"
23316,6,6,6,6,6,6,1,0,23316,-21.604549494335075,166.22953985735916,0,,0,"{""type"":""Point"",""coordinates"":[166.22953985735916,-21.60454949433507]}"
23317,6,6,6,6,6,6,1,0,23317,-21.60427999999999,166.22953985735916,0,,0,"{""type"":""Point"",""coordinates"":[166.22953985735916,-21.60427999999999]}"
23318,5,5,5,5,5,5,1,0,23318,-21.60401050516292,166.22953985735916,0,,0,"{""type"":""Point"",""coordinates"":[166.22953985735916,-21.60401050516292]}"
23319,6,6,6,6,6,6,1,0,23319,-21.43988999999999,165.14862047041902,0,,16,"{""type"":""Point"",""coordinates"":[165.14862047041902,-21.439889999999995]}"
23320,6,6,6,6,6,6,1,0,23320,-21.439620505165024,165.14862047041902,0,,4,"{""type"":""Point"",""coordinates"":[165.14862047041902,-21.43962050516502]}"
23321,6,6,6,6,6,6,1,0,23321,-21.440159494337166,165.14891,0,,29,"{""type"":""Point"",""coordinates"":[165.14891,-21.440159494337163]}"
23322,6,6,6,6,6,6,1,0,23322,-21.60955949433503,165.54414013260228,0,,0,"{""type"":""Point"",""coordinates"":[165.54414013260228,-21.609559494335034]}"
23323,6,6,6,6,6,6,1,0,23323,-21.43988999999999,165.14891,0,,29,"{""type"":""Point"",""coordinates"":[165.14891,-21.43988999999999]}"
23324,6,6,6,6,6,6,1,0,23324,-21.609289999999987,165.54414013260228,0,,0,"{""type"":""Point"",""coordinates"":[165.54414013260228,-21.60928999999999]}"
23325,6,6,6,6,6,6,1,0,23325,-21.60902050516286,165.54414013260228,0,,0,"{""type"":""Point"",""coordinates"":[165.54414013260228,-21.609020505162864]}"
23326,6,6,6,6,6,6,1,0,23326,-21.439620505165024,165.14891,0,,0,"{""type"":""Point"",""coordinates"":[165.14891,-21.43962050516502]}"
23327,6,6,6,6,6,6,1,0,23327,-21.60955949433503,165.54443,0,,0,"{""type"":""Point"",""coordinates"":[165.54443,-21.609559494335034]}"
23328,6,6,6,6,6,6,1,0,23328,-21.609289999999987,165.54443,0,,0,"{""type"":""Point"",""coordinates"":[165.54443,-21.60928999999999]}"
23329,6,6,6,6,6,6,1,0,23329,-21.60902050516286,165.54443,0,,6,"{""type"":""Point"",""coordinates"":[165.54443,-21.60902050516286]}"
23330,6,6,6,6,6,6,1,0,23330,-21.60955949433503,165.54471986739776,0,,0,"{""type"":""Point"",""coordinates"":[165.54471986739776,-21.60955949433503]}"
23331,6,6,6,6,6,6,1,0,23331,-21.440159494337166,165.149199529581,0,,16,"{""type"":""Point"",""coordinates"":[165.14919952958104,-21.440159494337166]}"
23332,6,6,6,6,6,6,1,0,23332,-21.609289999999987,165.54471986739776,0,,0,"{""type"":""Point"",""coordinates"":[165.54471986739776,-21.609289999999987]}"
23333,6,6,6,6,6,6,1,0,23333,-21.60902050516286,165.54471986739776,0,,6,"{""type"":""Point"",""coordinates"":[165.54471986739776,-21.60902050516286]}"
23334,6,6,6,6,6,6,1,0,23334,-21.60955949433503,165.54414013260228,0,,0,"{""type"":""Point"",""coordinates"":[165.54414013260228,-21.609559494335034]}"
