system:index,Dec1999,Dec2000,Dec2007,Dec2008,Dec2020,Dec2021,datamask,gain,id,loss,lossyear,treecover2000,.geo
49,1,1,1,1,1,1,1,0,49,0,,97,"{""type"":""Point"",""coordinates"":[165.26142441385875,-21.381744494337937]}"
50,6,6,6,6,6,6,1,0,50,0,,81,"{""type"":""Point"",""coordinates"":[165.26142441385875,-21.381474999999995]}"
51,6,6,6,6,6,6,1,0,51,0,,90,"{""type"":""Point"",""coordinates"":[165.26142441385875,-21.381205505165763]}"
52,6,6,6,6,6,6,1,0,52,0,,0,"{""type"":""Point"",""coordinates"":[165.26351950940614,-21.420501494337444]}"
53,6,6,6,6,6,6,1,0,53,0,,0,"{""type"":""Point"",""coordinates"":[165.26351950940614,-21.42023199999998]}"
54,6,6,6,6,6,6,1,0,54,0,,0,"{""type"":""Point"",""coordinates"":[165.26351950940614,-21.419962505165287]}"
55,6,6,6,6,6,6,1,0,55,1,14,0,"{""type"":""Point"",""coordinates"":[165.263809,-21.420501494337444]}"
56,6,6,6,6,6,6,1,0,56,1,14,20,"{""type"":""Point"",""coordinates"":[165.263809,-21.420231999999984]}"
57,6,6,6,6,6,6,1,0,57,0,,20,"{""type"":""Point"",""coordinates"":[165.263809,-21.419962505165287]}"
58,6,6,6,6,6,6,1,0,58,0,,0,"{""type"":""Point"",""coordinates"":[165.26409849059385,-21.420501494337444]}"
59,6,6,6,6,6,6,1,0,59,0,,16,"{""type"":""Point"",""coordinates"":[165.26409849059385,-21.420231999999984]}"
60,6,6,6,6,6,6,1,0,60,1,14,16,"{""type"":""Point"",""coordinates"":[165.26409849059385,-21.419962505165287]}"
61,1,1,1,1,3,3,1,0,61,0,,45,"{""type"":""Point"",""coordinates"":[165.27243557170118,-21.38904449433784]}"
62,1,1,1,1,3,3,1,0,62,0,,45,"{""type"":""Point"",""coordinates"":[165.27243557170118,-21.388774999999995]}"
63,1,1,2,2,3,3,1,0,63,0,,55,"{""type"":""Point"",""coordinates"":[165.27243557170118,-21.38850550516568]}"
64,6,6,6,6,6,6,1,0,64,0,,45,"{""type"":""Point"",""coordinates"":[165.27272499999998,-21.38904449433784]}"
65,1,1,1,1,3,3,1,0,65,0,,45,"{""type"":""Point"",""coordinates"":[165.27272499999998,-21.388774999999995]}"
66,1,1,1,1,3,3,1,0,66,0,,45,"{""type"":""Point"",""coordinates"":[165.27272499999998,-21.38850550516568]}"
67,6,6,6,6,6,6,1,0,67,0,,45,"{""type"":""Point"",""coordinates"":[165.27301442829884,-21.38904449433784]}"
68,6,6,6,6,6,6,1,0,68,0,,54,"{""type"":""Point"",""coordinates"":[165.27301442829884,-21.388774999999992]}"
