plotid,sampleid,Classification_MAJ,Classification_2010
21,327,Forêt,Non Forêt
21,328,Non Forêt,Non Forêt
21,329,Non Forêt,Non Forêt
22,337,Non Forêt,Non Forêt
22,338,Non Forêt,Non Forêt
22,339,Non Forêt,Non Forêt
22,340,Non Forêt,Non Forêt
22,341,Non Forêt,Non Forêt
22,342,Non Forêt,Non Forêt
22,343,Non Forêt,Non Forêt
22,344,Non Forêt,Non Forêt
22,345,Non Forêt,Non Forêt
23,353,Non Forêt,Forêt
23,354,Non Forêt,Forêt
23,355,Non Forêt,Forêt
23,356,Non Forêt,Forêt
23,357,Non Forêt,Forêt
23,358,Non Forêt,Forêt
23,359,Non Forêt,Forêt
23,360,Non Forêt,Forêt
23,361,Non Forêt,Forêt
24,369,Non Forêt,Forêt
24,370,Non Forêt,Forêt
24,371,Non Forêt,Forêt
24,372,Non Forêt,Forêt
24,373,Non Forêt,Forêt
24,374,Non Forêt,Forêt
24,375,Non Forêt,Forêt
24,376,Non Forêt,Forêt
24,377,Non Forêt,Forêt
25,385,Non Forêt,Non Forêt
25,386,Non Forêt,Forêt
25,387,Non Forêt,Non Forêt
25,388,Non Forêt,Forêt
25,389,Non Forêt,Forêt
25,390,Non Forêt,Non Forêt
25,391,Non Forêt,Forêt
25,392,Non Forêt,Forêt
25,393,Non Forêt,Forêt
26,401,Non Forêt,Non Forêt
26,402,Non Forêt,Non Forêt
26,403,Non Forêt,Non Forêt
26,404,Non Forêt,Non Forêt
26,405,Non Forêt,Non Forêt
26,406,Non Forêt,Non Forêt
26,407,Non Forêt,Non Forêt
26,408,Non Forêt,Non Forêt
26,409,Non Forêt,Non Forêt
27,417,Non Forêt,Non Forêt
27,418,Non Forêt,Non Forêt
27,419,Non Forêt,Non Forêt
27,420,Non Forêt,Non Forêt
27,421,Non Forêt,Non Forêt
27,422,Non Forêt,Non Forêt
27,423,Non Forêt,Non Forêt
27,424,Non Forêt,Non Forêt
27,425,Non Forêt,Non Forêt
28,433,Forêt,Forêt
28,434,Non Forêt,Forêt
28,435,Non Forêt,Forêt
28,436,Non Forêt,Forêt
28,437,Forêt,Forêt
28,438,Non Forêt,Forêt
28,439,Forêt,Forêt
28,440,Forêt,Forêt
28,441,Non Forêt,Forêt
29,449,Non Forêt,Non Forêt
29,450,Non Forêt,Non Forêt
29,451,Non Forêt,Non Forêt
29,452,Non Forêt,Non Forêt
29,453,Non Forêt,Non Forêt
29,454,Non Forêt,Non Forêt
29,455,Non Forêt,Non Forêt
29,456,Non Forêt,Non Forêt
29,457,Non Forêt,Non Forêt
30,465,Non Forêt,Forêt
30,466,Non Forêt,Forêt
30,467,Forêt,Forêt
30,468,Non Forêt,Forêt
30,469,Non Forêt,Forêt
30,470,Non Forêt,Forêt
30,471,Non Forêt,Forêt
30,472,Non Forêt,Forêt
30,473,Non Forêt,Forêt
31,481,Non Forêt,Non Forêt
31,482,Non Forêt,Non Forêt
31,483,Non Forêt,Non Forêt
31,484,Non Forêt,Non Forêt
31,485,Non Forêt,Non Forêt
31,486,Non Forêt,Forêt
31,487,Non Forêt,Non Forêt
31,488,Non Forêt,Non Forêt
31,489,Forêt,Forêt
32,497,Non Forêt,Non Forêt
32,498,Non Forêt,Non Forêt
32,499,Non Forêt,Non Forêt
32,500,Non Forêt,Non Forêt
32,501,Non Forêt,Non Forêt
32,502,Non Forêt,Non Forêt
32,503,Non Forêt,Non Forêt
32,504,Non Forêt,Non Forêt
32,505,Non Forêt,Non Forêt
33,513,Non Forêt,Non Forêt
33,514,Non Forêt,Non Forêt
33,515,Non Forêt,Non Forêt
33,516,Non Forêt,Non Forêt
33,517,Non Forêt,Non Forêt
33,518,Non Forêt,Non Forêt
33,519,Non Forêt,Non Forêt
33,520,Non Forêt,Non Forêt
33,521,Non Forêt,Non Forêt
34,529,Non Forêt,Non Forêt
34,530,Non Forêt,Non Forêt
34,531,Non Forêt,Non Forêt
34,532,Non Forêt,Non Forêt
34,533,Non Forêt,Non Forêt
34,534,Non Forêt,Non Forêt
34,535,Non Forêt,Non Forêt
34,536,Non Forêt,Non Forêt
34,537,Non Forêt,Non Forêt
35,545,Non Forêt,Forêt
35,546,Non Forêt,Non Forêt
35,547,Non Forêt,Non Forêt
35,548,Non Forêt,Non Forêt
35,549,Forêt,Non Forêt
35,550,Non Forêt,Non Forêt
35,551,Non Forêt,Non Forêt
35,552,Forêt,Forêt
35,553,Non Forêt,Non Forêt
36,561,Non Forêt,Non Forêt
36,562,Non Forêt,Non Forêt
36,563,Non Forêt,Non Forêt
36,564,Forêt,Forêt
36,565,Forêt,Forêt
36,566,Non Forêt,Non Forêt
36,567,Forêt,Forêt
36,568,Forêt,Forêt
36,569,Forêt,Forêt
37,577,Non Forêt,Non Forêt
37,578,Non Forêt,Non Forêt
37,579,Non Forêt,Forêt
37,580,Non Forêt,Forêt
37,581,Non Forêt,Forêt
37,582,Non Forêt,Forêt
37,583,Non Forêt,Forêt
37,584,Non Forêt,Forêt
37,585,Non Forêt,Forêt
38,593,Non Forêt,Non Forêt
38,594,Non Forêt,Non Forêt
38,595,Non Forêt,Non Forêt
38,596,Non Forêt,Non Forêt
38,597,Non Forêt,Non Forêt
38,598,Forêt,Forêt
38,599,Forêt,Forêt
38,600,Forêt,Forêt
38,601,Forêt,Forêt
39,609,Forêt,Forêt
39,610,Forêt,Forêt
39,611,Forêt,Forêt
39,612,Non Forêt,Non Forêt
39,613,Forêt,Non Forêt
39,614,Non Forêt,Forêt
39,615,Non Forêt,Non Forêt
39,616,Non Forêt,Non Forêt
39,617,Non Forêt,Non Forêt
40,625,Non Forêt,Forêt
40,626,Non Forêt,Forêt
40,627,Non Forêt,Forêt
40,628,Non Forêt,Forêt
40,629,Non Forêt,Forêt
40,630,Non Forêt,Non Forêt
40,631,Non Forêt,Forêt
40,632,Non Forêt,Non Forêt
40,633,Non Forêt,Non Forêt
41,641,Non Forêt,Forêt
41,642,Non Forêt,Non Forêt
41,643,Non Forêt,Non Forêt
41,644,Non Forêt,Forêt
41,645,Non Forêt,Non Forêt
41,646,Non Forêt,Non Forêt
41,647,Non Forêt,Forêt
41,648,Non Forêt,Non Forêt
41,649,Non Forêt,Non Forêt
42,657,Non Forêt,Non Forêt
42,658,Non Forêt,Non Forêt
42,659,Non Forêt,Non Forêt
42,660,Non Forêt,Non Forêt
42,661,Non Forêt,Non Forêt
42,662,Non Forêt,Non Forêt
42,663,Non Forêt,Non Forêt
42,664,Non Forêt,Non Forêt
42,665,Non Forêt,Non Forêt
43,673,Non Forêt,Forêt
43,674,Non Forêt,Non Forêt
43,675,Non Forêt,Non Forêt
43,676,Forêt,Forêt
43,677,Non Forêt,Non Forêt
43,678,Non Forêt,Forêt
43,679,Non Forêt,Forêt
43,680,Non Forêt,Forêt
43,681,Non Forêt,Non Forêt
44,689,Non Forêt,Forêt
44,690,Non Forêt,Forêt
44,691,Non Forêt,Forêt
44,692,Non Forêt,Forêt
44,693,Non Forêt,Forêt
44,694,Non Forêt,Forêt
44,695,Non Forêt,Forêt
44,696,Non Forêt,Forêt
44,697,Non Forêt,Forêt
45,705,Non Forêt,Non Forêt
45,706,Non Forêt,Forêt
45,707,Non Forêt,Forêt
45,708,Non Forêt,Non Forêt
45,709,Forêt,Forêt
45,710,Forêt,Forêt
45,711,Forêt,Non Forêt
45,712,Forêt,Forêt
45,713,Forêt,Forêt
46,721,Non Forêt,Non Forêt
46,722,Non Forêt,Non Forêt
46,723,Non Forêt,Non Forêt
46,724,Non Forêt,Non Forêt
46,725,Non Forêt,Non Forêt
46,726,Non Forêt,Non Forêt
46,727,Non Forêt,Non Forêt
46,728,Non Forêt,Non Forêt
46,729,Non Forêt,Non Forêt
47,737,Non Forêt,Non Forêt
47,738,Non Forêt,Non Forêt
47,739,Non Forêt,Non Forêt
47,740,Non Forêt,Non Forêt
47,741,Non Forêt,Forêt
47,742,Forêt,Forêt
47,743,Non Forêt,Non Forêt
47,744,Non Forêt,Forêt
47,745,Forêt,Forêt
48,753,Non Forêt,Forêt
48,754,Non Forêt,Non Forêt
48,755,Non Forêt,Non Forêt
48,756,Non Forêt,Forêt
48,757,Non Forêt,Non Forêt
48,758,Non Forêt,Non Forêt
48,759,Non Forêt,Forêt
48,760,Non Forêt,Forêt
48,761,Non Forêt,Non Forêt
49,769,Non Forêt,Forêt
49,770,Non Forêt,Forêt
49,771,Non Forêt,Forêt
49,772,Non Forêt,Forêt
49,773,Non Forêt,Forêt
49,774,Non Forêt,Forêt
49,775,Non Forêt,Non Forêt
49,776,Non Forêt,Non Forêt
49,777,Non Forêt,Non Forêt
50,785,Non Forêt,Non Forêt
50,786,Non Forêt,Non Forêt
50,787,Non Forêt,Non Forêt
50,788,Non Forêt,Non Forêt
50,789,Non Forêt,Non Forêt
50,790,Non Forêt,Non Forêt
50,791,Non Forêt,Non Forêt
50,792,Non Forêt,Non Forêt
50,793,Non Forêt,Non Forêt
51,801,Non Forêt,Non Forêt
51,802,Non Forêt,Non Forêt
51,803,Non Forêt,Non Forêt
51,804,Non Forêt,Non Forêt
51,805,Non Forêt,Non Forêt
51,806,Non Forêt,Non Forêt
51,807,Non Forêt,Non Forêt
51,808,Non Forêt,Non Forêt
51,809,Non Forêt,Non Forêt
52,817,Non Forêt,Forêt
52,818,Non Forêt,Non Forêt
52,819,Non Forêt,Non Forêt
52,820,Non Forêt,Non Forêt
52,821,Non Forêt,Non Forêt
52,822,Non Forêt,Non Forêt
52,823,Non Forêt,Non Forêt
52,824,Non Forêt,Non Forêt
52,825,Non Forêt,Non Forêt
53,833,Non Forêt,Non Forêt
53,834,Non Forêt,Non Forêt
53,835,Non Forêt,Non Forêt
53,836,Non Forêt,Non Forêt
53,837,Non Forêt,Non Forêt
53,838,Non Forêt,Non Forêt
53,839,Non Forêt,Non Forêt
53,840,Non Forêt,Non Forêt
53,841,Non Forêt,Non Forêt
54,849,Non Forêt,Non Forêt
54,850,Non Forêt,Non Forêt
54,851,Non Forêt,Non Forêt
54,852,Non Forêt,Non Forêt
54,853,Non Forêt,Non Forêt
54,854,Non Forêt,Non Forêt
54,855,Non Forêt,Non Forêt
54,856,Non Forêt,Non Forêt
54,857,Non Forêt,Non Forêt
55,865,Non Forêt,Non Forêt
55,866,Non Forêt,Non Forêt
55,867,Non Forêt,Non Forêt
55,868,Non Forêt,Non Forêt
55,869,Non Forêt,Non Forêt
55,870,Non Forêt,Non Forêt
55,871,Non Forêt,Non Forêt
55,872,Non Forêt,Non Forêt
55,873,Non Forêt,Non Forêt
56,881,Non Forêt,Non Forêt
56,882,Non Forêt,Non Forêt
56,883,Non Forêt,Non Forêt
56,884,Non Forêt,Non Forêt
56,885,Non Forêt,Non Forêt
56,886,Non Forêt,Non Forêt
56,887,Non Forêt,Non Forêt
56,888,Non Forêt,Non Forêt
56,889,Non Forêt,Non Forêt
57,897,Forêt,Forêt
57,898,Non Forêt,Forêt
57,899,Non interprétable,Forêt
57,900,Non Forêt,Non Forêt
57,901,Forêt,Forêt
57,902,Non interprétable,Forêt
57,903,Non Forêt,Non Forêt
57,904,Non interprétable,Forêt
57,905,Forêt,Forêt
58,913,Non Forêt,Non Forêt
58,914,Non Forêt,Non Forêt
58,915,Non Forêt,Non Forêt
58,916,Non Forêt,Non Forêt
58,917,Non Forêt,Non Forêt
58,918,Non Forêt,Non Forêt
58,919,Non Forêt,Non Forêt
58,920,Non Forêt,Non Forêt
58,921,Non Forêt,Non Forêt
59,929,Non interprétable,Non Forêt
59,930,Non interprétable,Non Forêt
59,931,Non interprétable,Non Forêt
59,932,Non interprétable,Non Forêt
59,933,Non interprétable,Non Forêt
59,934,Non interprétable,Non Forêt
59,935,Non interprétable,Non Forêt
59,936,Non interprétable,Non Forêt
59,937,Non interprétable,Non Forêt
60,945,Non Forêt,Non Forêt
60,946,Non interprétable,Non Forêt
60,947,Non Forêt,Non Forêt
60,948,Non Forêt,Non Forêt
60,949,Non Forêt,Non Forêt
60,950,Non interprétable,Forêt
60,951,Non Forêt,Non Forêt
60,952,Non Forêt,Non Forêt
60,953,Non Forêt,Non Forêt
61,961,Non Forêt,Forêt
61,962,Non Forêt,Non Forêt
61,963,Non Forêt,Non Forêt
61,964,Non Forêt,Forêt
61,965,Non Forêt,Forêt
61,966,Non Forêt,Forêt
61,967,Non Forêt,Non Forêt
61,968,Non Forêt,Non Forêt
61,969,Non Forêt,Non Forêt
62,977,Non interprétable,Forêt
62,978,Forêt,Forêt
62,979,Forêt,Forêt
62,980,Non Forêt,Non Forêt
62,981,Non Forêt,Forêt
62,982,Non interprétable,Forêt
62,983,Non Forêt,Forêt
62,984,Non Forêt,Non Forêt
62,985,Non Forêt,Non Forêt
63,993,Non Forêt,Non Forêt
63,994,Non Forêt,Non Forêt
63,995,Non Forêt,Non Forêt
63,996,Non Forêt,Non Forêt
63,997,Non Forêt,Non Forêt
63,998,Non Forêt,Non Forêt
63,999,Non Forêt,Non Forêt
63,1000,Non Forêt,Non Forêt
63,1001,Non Forêt,Non Forêt
64,1009,Non Forêt,Non Forêt
64,1010,Non Forêt,Non Forêt
64,1011,Non Forêt,Non Forêt
64,1012,Non Forêt,Forêt
64,1013,Non Forêt,Forêt
64,1014,Non Forêt,Non Forêt
64,1015,Non Forêt,Forêt
64,1016,Non interprétable,Forêt
64,1017,Forêt,Forêt
65,1025,Non Forêt,Non Forêt
65,1026,Non Forêt,Non Forêt
65,1027,Non Forêt,Non Forêt
65,1028,Non Forêt,Non Forêt
65,1029,Non Forêt,Non Forêt
65,1030,Non Forêt,Non Forêt
65,1031,Non Forêt,Non Forêt
65,1032,Non Forêt,Non Forêt
65,1033,Non Forêt,Non Forêt
66,1041,Non Forêt,Non Forêt
66,1042,Non Forêt,Non Forêt
66,1043,Non Forêt,Non Forêt
66,1044,Non Forêt,Non Forêt
66,1045,Non Forêt,Non Forêt
66,1046,Non Forêt,Non Forêt
66,1047,Non Forêt,Non Forêt
66,1048,Non Forêt,Non Forêt
66,1049,Non Forêt,Non Forêt
67,1057,Non Forêt,Non Forêt
67,1058,Non Forêt,Non Forêt
67,1059,Forêt,Forêt
67,1060,Non Forêt,Non Forêt
67,1061,Forêt,Forêt
67,1062,Forêt,Forêt
67,1063,Non Forêt,Forêt
67,1064,Forêt,Forêt
67,1065,Forêt,Forêt
68,1073,Non Forêt,Non Forêt
68,1074,Non Forêt,Non Forêt
68,1075,Non Forêt,Non Forêt
68,1076,Non Forêt,Non Forêt
68,1077,Non Forêt,Non Forêt
68,1078,Non Forêt,Non Forêt
68,1079,Non Forêt,Non Forêt
